Link,Title,string,url,css_string
abacavir-2.html, Abacavir ,abacavir-2,https://bnf.nice.org.uk/interaction/abacavir-2.html,#abacavir-2 .interactant span
abatacept-2.html, Abatacept ,abatacept-2,https://bnf.nice.org.uk/interaction/abatacept-2.html,#abatacept-2 .interactant span
abciximab-2.html, Abciximab ,abciximab-2,https://bnf.nice.org.uk/interaction/abciximab-2.html,#abciximab-2 .interactant span
abiraterone.html, Abiraterone ,abiraterone,https://bnf.nice.org.uk/interaction/abiraterone.html,#abiraterone .interactant span
acarbose-2.html, Acarbose ,acarbose-2,https://bnf.nice.org.uk/interaction/acarbose-2.html,#acarbose-2 .interactant span
acebutolol-2.html, Acebutolol ,acebutolol-2,https://bnf.nice.org.uk/interaction/acebutolol-2.html,#acebutolol-2 .interactant span
aceclofenac-2.html, Aceclofenac ,aceclofenac-2,https://bnf.nice.org.uk/interaction/aceclofenac-2.html,#aceclofenac-2 .interactant span
acenocoumarol-2.html, Acenocoumarol ,acenocoumarol-2,https://bnf.nice.org.uk/interaction/acenocoumarol-2.html,#acenocoumarol-2 .interactant span
acetazolamide-2.html, Acetazolamide ,acetazolamide-2,https://bnf.nice.org.uk/interaction/acetazolamide-2.html,#acetazolamide-2 .interactant span
aciclovir-2.html, Aciclovir ,aciclovir-2,https://bnf.nice.org.uk/interaction/aciclovir-2.html,#aciclovir-2 .interactant span
acitretin-2.html, Acitretin ,acitretin-2,https://bnf.nice.org.uk/interaction/acitretin-2.html,#acitretin-2 .interactant span
aclidinium.html, Aclidinium ,aclidinium,https://bnf.nice.org.uk/interaction/aclidinium.html,#aclidinium .interactant span
acrivastine-2.html, Acrivastine ,acrivastine-2,https://bnf.nice.org.uk/interaction/acrivastine-2.html,#acrivastine-2 .interactant span
adalimumab-2.html, Adalimumab ,adalimumab-2,https://bnf.nice.org.uk/interaction/adalimumab-2.html,#adalimumab-2 .interactant span
adefovir.html, Adefovir ,adefovir,https://bnf.nice.org.uk/interaction/adefovir.html,#adefovir .interactant span
adenosine-2.html, Adenosine ,adenosine-2,https://bnf.nice.org.uk/interaction/adenosine-2.html,#adenosine-2 .interactant span
adrenalineepinephrine-2.html, Adrenaline/epinephrine ,adrenalineepinephrine-2,https://bnf.nice.org.uk/interaction/adrenalineepinephrine-2.html,#adrenalineepinephrine-2 .interactant span
afatinib-2.html, Afatinib ,afatinib-2,https://bnf.nice.org.uk/interaction/afatinib-2.html,#afatinib-2 .interactant span
aflibercept-2.html, Aflibercept ,aflibercept-2,https://bnf.nice.org.uk/interaction/aflibercept-2.html,#aflibercept-2 .interactant span
agalsidase.html, Agalsidase ,agalsidase,https://bnf.nice.org.uk/interaction/agalsidase.html,#agalsidase .interactant span
agomelatine-2.html, Agomelatine ,agomelatine-2,https://bnf.nice.org.uk/interaction/agomelatine-2.html,#agomelatine-2 .interactant span
albendazole-2.html, Albendazole ,albendazole-2,https://bnf.nice.org.uk/interaction/albendazole-2.html,#albendazole-2 .interactant span
alcohol-beverage.html, Alcohol (beverage) ,alcohol-beverage,https://bnf.nice.org.uk/interaction/alcohol-beverage.html,#alcohol-beverage .interactant span
alectinib-2.html, Alectinib ,alectinib-2,https://bnf.nice.org.uk/interaction/alectinib-2.html,#alectinib-2 .interactant span
alemtuzumab-2.html, Alemtuzumab ,alemtuzumab-2,https://bnf.nice.org.uk/interaction/alemtuzumab-2.html,#alemtuzumab-2 .interactant span
alendronic-acid-2.html, Alendronic acid ,alendronic-acid-2,https://bnf.nice.org.uk/interaction/alendronic-acid-2.html,#alendronic-acid-2 .interactant span
alfacalcidol-2.html, Alfacalcidol ,alfacalcidol-2,https://bnf.nice.org.uk/interaction/alfacalcidol-2.html,#alfacalcidol-2 .interactant span
alfentanil-2.html, Alfentanil ,alfentanil-2,https://bnf.nice.org.uk/interaction/alfentanil-2.html,#alfentanil-2 .interactant span
alfuzosin.html, Alfuzosin ,alfuzosin,https://bnf.nice.org.uk/interaction/alfuzosin.html,#alfuzosin .interactant span
alimemazine.html, Alimemazine ,alimemazine,https://bnf.nice.org.uk/interaction/alimemazine.html,#alimemazine .interactant span
aliskiren-2.html, Aliskiren ,aliskiren-2,https://bnf.nice.org.uk/interaction/aliskiren-2.html,#aliskiren-2 .interactant span
alitretinoin-2.html, Alitretinoin ,alitretinoin-2,https://bnf.nice.org.uk/interaction/alitretinoin-2.html,#alitretinoin-2 .interactant span
allopurinol-2.html, Allopurinol ,allopurinol-2,https://bnf.nice.org.uk/interaction/allopurinol-2.html,#allopurinol-2 .interactant span
